iter	Passed	Remaining
0	271	135587
1	474	118149
2	622	10305833	733	9090544	838	83030
5	948	78093
6	1048	73871
7	1163	71544
8	1281	69933
9	1404	68818
10	1534	68205
11	1705	69355
12	1888	70727
13	2083	72336
14	2303	74471
15	2613	79046
16	2815	79995
17	3098	82973
18	3325	84184
19	3870	92903
20	4106	93661
21	4393	95464
22	4638	96194
23	4872	96642
24	5055	96057
25	5272	96125
26	5429	95112
27	5660	95414
28	5878	95472
29	6063	94992
30	6214	94015
31	6424	93965
32	6666	94334
33	6950	95256
34	7157	95089
35	7354	94795
36	7699	96342
37	8099	98474
38	8551	101085339	9046	10403840	9242	103472
41	9717	105972
42	10116	107522
43	10325	107005
44	10491	106082
45	10686	105470
46	10895	105013
47	11135	104859
48	11297	103979
49	11476	103288
50	11661	102670
51	11916	102663
52	12158	102541
53	12392	102350
54	12634	102225
55	12863	101987
56	13076	101626
57	13280	101204
58	13443	100484
59	13607	99790
60	13820	99459
61	14012	98994
62	14203	98519
63	14394	98062
64	14584	97601
65	14714	96760
66	14899	96291
67	15074	95769
68	15234	95160
69	15399	94599
70	15545	93927
71	15737	93548
72	15925	93151
73	16368	94227
74	16850	95488
75	17324	96654
76	17921	98450
77	18698	101164
78	19280	102746
79	19812	104017
80	20081	103877
81	20384	103908
82	20644	103720
83	21091	104454
84	21320	104093
85	21464	103327
86	21635	102708
87	21795	102042
88	21937	101305
89	22064	100518
90	22243	99972
91	22409	99383
92	22547	98676
93	22715	98111
94	22829	97326
95	22923	96468
96	23056	95790
97	23165	95024
98	23297	94365
99	23401	93604
100	23527	92943
101	23661	92326
102	23771	91625
103	23883	90940
104	24004	90302
105	24108	89610
106	24252	89078
107	24362	88425
108	24514	87938
109	24638	87356
110	24810	86948
111	24952	86443
112	25101	85968
113	25251	85499
114	25389	84999
115	25519	84477
116	25642	83939
117	25794	83505
118	25940	83053
119	26059	82523
120	26185	82020
121	26313	81527
122	26423	80990
123	26541	80479
124	26668	80006
125	26813	79588
126	26948	79147
127	27069	78671
128	27199	78225
129	27320	77759
130	27448	77317
131	27586	76907
132	27722	76496
133	27858	76092
134	27985	75664
135	28096	75199
136	28245	74839
137	28360	74395
138	28484	73976
139	28636	73636
140	28755	73213
141	28914	72897
142	29035	72487
143	29188	72161
144	29312	71765
145	29443	71389
146	29603	71089
147	29719	70683
148	29832	70276
149	29961	69909
150	30098	69566
151	30240	69234
152	30370	68879
153	30478	68477
154	30598	68105
155	30714	67728
156	30830	67356
157	30953	66999
158	31072	66639
159	31187	66273
160	31291	65886
161	31396	65505
162	31506	65138
163	31621	64785
164	31750	64463
165	31881	64147
166	32008	63825
167	32156	63547
168	32263	63190
169	32370	62837
170	32481	62494
171	32601	62169
172	32709	61825
173	32829	61507
174	32964	61220
175	33096	60927
176	33270	60714
177	33417	60451
178	33587	60231
179	33715	59938
180	33868	59690
181	34030	59459
182	34307	59429
183	34514	59274
184	34697	59079
185	34841	58818
186	35005	58591
187	35116	58278
188	35293	58076
189	35397	57753
190	35500	57432
191	35635	57164
192	35763	56888
193	35895	56617
194	36015	56331
195	36166	56094
196	36272	55790
197	36393	55509
198	36521	55241
199	36645	54968
200	36752	54671
201	36899	54436
202	37012	54151
203	37151	53905
204	37269	53632
205	37421	53406
206	37540	53136
207	37663	52874
208	37776	52598
209	37929	52379
210	38112	52202
211	38237	51945
212	38399	51740
213	38576	51555
214	38718	51324
215	38860	51094
216	38982	50839
217	39308	50849
218	39455	50625
219	39563	50352
220	39692	50109
221	39800	49839
222	39918	49585
223	40036	49331
224	40278	49229
225	40770	49430
226	41312	49684
227	41651	49689
228	41884	49566
229	42183	49520
230	42333	49297
231	42433	49018
232	42565	48776
233	42694	48533
234	42772	48232
235	42843	47926
236	42935	47645
237	43019	47357
238	43102	47069
239	43194	46794
240	43283	46515
241	43362	46229
242	43507	46014
243	43777	45930
244	43879	45670
245	43984	45414
246	44057	45127
247	44128	44840
248	44298	44654
249	44447	44447
250	44536	44181
251	44625	43916
252	44731	43670
253	44904	43490
254	44997	43233
255	45056	42944
256	45113	42655
257	45169	42367
258	45228	42084
259	45304	41819
260	45373	41548
261	45422	41261
262	45473	40978
263	45524	40695
264	45577	40417
265	45647	40156
266	45737	39913
267	45818	39663
268	45880	39399
269	45939	39133
270	45992	38864
271	46055	38605
272	46110	38341
273	46169	38081
274	46217	37814
275	46265	37548
276	46310	37282
277	46364	37024
278	46410	36762
279	46460	36504
280	46508	36247
281	46580	36009
282	46631	35755
283	46676	35500
284	46729	35252
285	46795	35014
286	46842	34764
287	46910	34531
288	46983	34302
289	47033	34058
290	47088	33819
291	47139	33578
292	47193	33341
293	47243	33102
294	47291	32863
295	47341	32627
296	47396	32395
297	47438	32155
298	47483	31920
299	47533	31688
300	47578	31455
301	47625	31224
302	47672	30995
303	47722	30768
304	47775	30544
305	47829	30323
306	47869	30094
307	47922	29874
308	47971	29652
309	48025	29434
310	48085	29222
311	48137	29006
312	48184	28787
313	48231	28570
314	48276	28352
315	48331	28142
316	48382	27930
317	48436	27721
318	48490	27513
319	48536	27301
320	48582	27091
321	48632	26883
322	48682	26677
323	48733	26472
324	48782	26267
325	48829	26062
326	48874	25857
327	48926	25656
328	48983	25459
329	49028	25256
330	49074	25056
331	49120	24856
332	49165	24656
333	49221	24463
334	49263	24263
335	49305	24065
336	49349	23869
337	49399	23676
338	49450	23485
339	49502	23295
340	49553	23105
341	49603	22916
342	49651	22726
343	49699	22538
344	49748	22350
345	49841	22183
346	49941	22020
347	50025	21850
348	50096	21675
349	50212	21519
350	50262	21336
351	50315	21155
352	50402	20989
353	50489	20823
354	50597	20666
355	50667	20494
356	50725	20318
357	50781	20142
358	50827	19962
359	50883	19787
360	50929	19610
361	50973	19431
362	51075	19276
363	51152	19111
364	51207	18939
365	51257	18766
366	51318	18597
367	51440	18451
368	51511	18287
369	51691	18161
370	51800	18011
371	52017	17898
372	52157	17758
373	52367	17642
374	52438	17479
375	52525	17322
376	52664	17182
377	52743	17023
378	52829	16866
379	52899	16705
380	52952	16538
381	53006	16373
382	53061	16209
383	53119	16046
384	53176	15883
385	53227	15719
386	53286	15559
387	53371	15406
388	53506	15267
389	53724	15153
390	53962	15043
391	54307	14962
392	54431	14819
393	54498	14662
394	54563	14504
395	54649	14352
396	54723	14197
397	54787	14040
398	54844	13882
399	54897	13724
400	54946	13565
401	54993	13406
402	55036	13246
403	55082	13089
404	55132	12932
405	55184	12776
406	55234	12621
407	55287	12466
408	55344	12313
409	55401	12161
410	55450	12007
411	55504	11855
412	55555	11702
413	55617	11553
414	55681	11404
415	55742	11255
416	55804	11107
417	55873	10960
418	55941	10814
419	56001	10666
420	56048	10517
421	56099	10369
422	56153	10221
423	56216	10076
424	56280	9931
425	56333	9785
426	56387	9640
427	56439	9494
428	56504	9351
429	56562	9207
430	56602	9061
431	56647	8916
432	56678	8770
433	56710	8624
434	56742	8478
435	56772	8333
436	56804	8189
437	56835	8045
438	56869	7902
439	56902	7759
440	56933	7616
441	56968	7475
442	57001	7334
443	57033	7193
444	57064	7052
445	57096	6913
446	57125	6773
447	57155	6634
448	57184	6495
449	57216	6357
450	57247	6219
451	57279	6082
452	57312	5946
453	57344	5810
454	57376	5674
455	57406	5539
456	57438	5404
457	57469	5270
458	57502	5136
459	57531	5002
460	57563	4869
461	57595	4737
462	57625	4605
463	57658	4473
464	57691	4342
465	57724	4211
466	57756	4081
467	57787	3951
468	57818	3821
469	57850	3692
470	57882	3563
471	57912	3435
472	57946	3307
473	57978	3180
474	58009	3053
475	58038	2926
476	58069	2800
477	58102	2674
478	58135	2548
479	58167	2423
480	58196	2298
481	58226	2174
482	58256	2050
483	58285	1926
484	58314	1803
485	58345	1680
486	58375	1558
487	58405	1436
488	58437	1314
489	58468	1193
490	58502	1072
491	58532	951
492	58563	831
493	58595	711
494	58626	592
495	58659	473
496	58749	354
497	58801	236
498	58833	117
499	58864	0
